IDPOL,INIVIG,Año,Mes,Tipo,Sexo_Titular,Sexo_Adjunto,ECON_Titular,ECON_Adjunto,Status_Titular,Status_Adjunto,PROD,SAF,SAD,CREC,%CREC,COB,PAG,DIV,MON,SIT,F_GAR
1,01/04/2021,2021,4,Último Superviviente,M,F,46,46,NFND,NFND,DM,225690,225690,NA,NA,10,10,SI,MXN,Normal,NA
15,01/04/2021,2021,4,Último Superviviente,M,F,30,26,FND,NFND,T,1174500,NA,NA,NA,5,5,NA,MXN,Normal,NA
14,01/04/2021,2021,4,Individual,M,F,43,43,FD,FD,DM,157130,157130,NA,NA,10,7,SI,MXN,Normal,NA
13,01/04/2021,2021,4,Individual,M,F,35,35,NFND,NFND,DM,99320,99320,NA,NA,20,6,SI,MXN,Normal,NA
11,01/04/2021,2021,4,Individual,M,M,52,52,NFND,NFND,DM,93050,93050,NA,NA,15,13,SI,MXN,Normal,NA
10,01/04/2021,2021,4,Individual,M,M,58,55,NFD,NFD,V,317210,NA,NA,NA,NA,28,NA,MXN,Normal,NA
9,01/04/2021,2021,4,Individual,F,M,42,42,NFND,NFND,T,898740,NA,NA,NA,25,25,NA,MXN,Normal,NA
12,01/04/2021,2021,4,Individual,F,M,28,18,NFD,NFD,T,976400,NA,NA,NA,15,15,NA,MXN,Normal,NA
7,01/04/2021,2021,4,Vida Conjunta,M,F,31,25,NFND,NFND,T,91900,NA,NA,NA,10,10,NA,MXN,Normal,NA
6,01/04/2021,2021,4,Individual,M,F,38,38,NFND,NFD,DM,512490,512490,NA,NA,15,2,SI,MXN,Normal,NA
5,01/04/2021,2021,4,Individual,M,F,53,53,NFD,NFND,V,424550,NA,VARIABLE,0.013,NA,1,NA,USD,Normal,NA
4,01/04/2021,2021,4,Individual,F,M,46,41,NFND,NFND,T,923180,NA,NA,NA,15,1,NA,MXN,Normal,NA
3,01/04/2021,2021,4,Último Superviviente,M,F,42,43,NFND,FD,V,89500,NA,NA,NA,NA,47,NA,MXN,Normal,NA
2,01/04/2021,2021,4,Individual,F,M,32,32,NFD,NFD,T,1659780,NA,NA,NA,5,5,NA,MXN,Normal,NA
8,01/04/2021,2021,4,Individual,F,M,34,24,NFND,NFD,DM,157220,157220,NA,NA,20,9,SI,UDI,Normal,NA
26,02/04/2021,2021,4,Último Superviviente,M,F,49,47,FND,NFD,T,274210,NA,NA,NA,10,10,NA,MXN,Normal,NA
33,02/04/2021,2021,4,Individual,M,M,44,53,FD,NFND,T,86530,NA,NA,NA,15,12,NA,MXN,Normal,NA
32,02/04/2021,2021,4,Vida Conjunta,M,M,38,38,NFND,NFD,DM,95100,Última,FIJO,0.041,25,16,SI,MXN,Normal,NA
31,02/04/2021,2021,4,Individual,M,F,18,26,FND,NFND,T,419030,NA,NA,NA,20,8,NA,MXN,Normal,NA
29,02/04/2021,2021,4,Último Superviviente,M,F,35,27,NFND,NFD,V,351290,NA,NA,NA,NA,1,NA,MXN,Normal,NA
28,02/04/2021,2021,4,Individual,M,F,29,29,NFD,NFD,DM,3275950,3275950,NA,NA,15,15,SI,MXN,Normal,NA
27,02/04/2021,2021,4,Último Superviviente,M,F,44,44,FD,FD,T,317020,NA,VARIABLE,0.023,15,1,NA,MXN,Prórrogado,2022-04-02
25,02/04/2021,2021,4,Vida Conjunta,F,F,46,38,NFND,NFND,DM,4705930,4705930,NA,NA,5,5,SI,MXN,Normal,NA
30,02/04/2021,2021,4,Individual,M,F,38,38,FD,NFND,T,1216050,NA,NA,NA,20,20,NA,MXN,Normal,NA
23,02/04/2021,2021,4,Vida Conjunta,F,F,49,39,FND,NFND,T,1683170,NA,NA,NA,20,17,NA,MXN,Saldado,2036-04-02
22,02/04/2021,2021,4,Individual,M,F,47,47,FD,FD,V,233630,NA,NA,NA,NA,23,NA,MXN,Normal,NA
21,02/04/2021,2021,4,Individual,M,F,43,40,FND,FD,T,357000,NA,NA,NA,20,20,NA,MXN,Normal,NA
20,02/04/2021,2021,4,Vida Conjunta,M,F,44,49,FND,FD,T,139300,NA,NA,NA,5,1,NA,MXN,Normal,NA
19,02/04/2021,2021,4,Vida Conjunta,M,M,51,51,FD,NFD,V,496220,NA,NA,NA,NA,50,NA,MXN,Normal,NA
24,02/04/2021,2021,4,Individual,F,M,44,44,NFND,NFND,T,573280,NA,VARIABLE,0.027,5,5,NA,MXN,Normal,NA
18,02/04/2021,2021,4,Individual,F,M,40,42,FND,FND,T,596010,NA,NA,NA,15,15,NA,MXN,Normal,NA
17,02/04/2021,2021,4,Individual,M,F,41,41,NFND,NFND,T,3983430,NA,NA,NA,15,15,NA,USD,Normal,NA
