Siniestro Número,Póliza,Inivig,Fecha_Ocurr,Fecha_Recla,Monto Pagado
86,3475,13/12/2021,19/01/2022,16/02/2022,369760
12,506,09/05/2021,24/08/2021,06/04/2022,168660
13,606,16/05/2021,21/06/2021,27/05/2022,1166990
96,3957,16/01/2022,17/02/2022,01/06/2022,232560
37,1577,26/07/2021,17/10/2021,15/07/2022,455410
81,3304,30/11/2021,14/01/2022,03/11/2022,247230
29,1205,29/06/2021,02/01/2023,07/01/2023,219860
61,2751,22/10/2021,29/08/2022,12/01/2023,7430200
113,4725,14/03/2022,17/06/2022,05/02/2023,199270
9,430,04/05/2021,21/09/2021,09/02/2023,1564730
40,1648,01/08/2021,03/12/2021,13/03/2023,5321800
34,1523,22/07/2021,29/03/2023,29/04/2023,27750
210,8148,18/11/2022,28/12/2022,07/05/2023,264420
148,5743,27/05/2022,02/08/2022,24/05/2023,45390
195,7724,18/10/2022,27/01/2023,12/06/2023,63700
39,1642,31/07/2021,03/07/2022,21/06/2023,111480
28,1004,14/06/2021,16/02/2022,27/06/2023,1477900
27,925,08/06/2021,09/02/2022,06/07/2023,308070
85,3456,11/12/2021,10/10/2022,12/08/2023,89440
63,2833,28/10/2021,23/02/2022,12/08/2023,261340
80,3293,29/11/2021,27/04/2022,08/09/2023,202550
49,1917,21/08/2021,12/11/2022,05/10/2023,163200
59,2704,18/10/2021,09/02/2023,25/10/2023,59490
190,7517,03/10/2022,14/10/2023,10/12/2023,28580
126,5026,05/04/2022,21/12/2022,20/12/2023,76130
76,3216,23/11/2021,24/05/2022,22/12/2023,105500
94,3904,13/01/2022,03/08/2023,24/12/2023,144550
106,4316,12/02/2022,19/08/2022,03/01/2024,522830
93,3854,09/01/2022,19/07/2023,10/01/2024,618800
54,2255,14/09/2021,09/04/2023,14/01/2024,157800
114,4726,14/03/2022,31/07/2022,15/01/2024,2034290
181,7290,18/09/2022,18/05/2023,21/01/2024,85550
144,5577,16/05/2022,26/04/2023,26/02/2024,880960
182,7305,19/09/2022,19/12/2023,02/03/2024,141690
79,3288,28/11/2021,22/08/2022,03/03/2024,1220310
178,7080,02/09/2022,11/01/2024,04/03/2024,717610
97,4006,19/01/2022,02/03/2024,23/03/2024,562090
57,2476,01/10/2021,29/10/2022,27/03/2024,633500
33,1414,14/07/2021,12/09/2023,17/04/2024,239370
225,8898,11/01/2023,07/12/2023,19/04/2024,849220
216,8522,15/12/2022,10/11/2023,29/04/2024,434010
174,6871,19/08/2022,02/12/2023,11/05/2024,100070
90,3679,26/12/2021,19/05/2022,13/05/2024,1150180
68,2994,08/11/2021,12/06/2022,13/05/2024,302320
122,4910,26/03/2022,31/03/2023,21/05/2024,414160
109,4362,15/02/2022,13/05/2023,23/05/2024,184640
11,496,08/05/2021,09/06/2024,18/06/2024,223520
30,1315,05/07/2021,10/01/2024,24/06/2024,2968660
121,4875,24/03/2022,21/10/2022,28/06/2024,214840
22,822,31/05/2021,08/11/2023,01/07/2024,155900
7,333,25/04/2021,24/11/2021,05/07/2024,1938160
66,2948,05/11/2021,14/06/2024,08/07/2024,156310
158,6149,27/06/2022,20/04/2024,18/07/2024,156400
204,7940,03/11/2022,20/06/2024,06/08/2024,973760
23,850,02/06/2021,28/11/2023,14/08/2024,86370
53,2195,10/09/2021,15/07/2024,01/09/2024,526240
